SKU;ID fila;ID Orden;Fecha Orden;Prioridad;Cantidad;Ventas;Descuento;Tipo de Envío;Nombre del Cliente;Provincia;Segmento del Cliente;Fecha de envío
193;3828;27298;19/11/2011;Bajo;31;164,92;0,04;Aereo Regular;Philisse Overcash;British Columbia;PYME;24/11/2011
301;3834;27330;16/9/2009;Bajo;8;507,74;0,05;Aereo Regular;Mark Cousins;British Columbia;Oficina en Hogar;16/9/2009
333;3835;27330;16/9/2009;Bajo;30;12600,99;0,05;Terrestre;Mark Cousins;British Columbia;Oficina en Hogar;25/9/2009
503;3896;27781;15/9/2011;Alto;47;181,13;0;Aereo Regular;Shahid Hopkins;British Columbia;PYME;17/9/2011
699;3956;28225;22/1/2009;Critical;9;206,04;0;Aereo Regular;Khloe Miller;British Columbia;Corporativo;22/1/2009
620;3975;28389;3/11/2009;Alto;22;668,39;0,07;Aereo Regular;Mark Cousins;British Columbia;Oficina en Hogar;4/11/2009
593;3976;28389;3/11/2009;Alto;16;4657,35;0,05;Terrestre;Mark Cousins;British Columbia;Oficina en Hogar;4/11/2009
303;3977;28389;3/11/2009;Alto;7;2097,94;0,07;Terrestre;Mark Cousins;British Columbia;Oficina en Hogar;5/11/2009
590;4054;28898;28/5/2011;Bajo;44;246;0,1;Aereo Regular;Mark Cousins;British Columbia;Corporativo;28/5/2011
647;4056;28901;11/6/2012;Alto;23;871,32;0,1;Aereo Regular;Trudy Schmidt;British Columbia;PYME;12/6/2012
410;4091;29185;20/1/2010;Alto;8;468,49;0,03;Aereo Regular;Rob Dowd;British Columbia;Corporativo;21/1/2010
741;4092;29185;20/1/2010;Alto;48;446,53;0,04;Aereo Express;Rob Dowd;British Columbia;Corporativo;22/1/2010
130;4093;29185;20/1/2010;Alto;5;217,85;0,02;Aereo Express;Rob Dowd;British Columbia;Corporativo;22/1/2010
742;4143;29408;2/5/2010;No Especificado;44;4260,73;0,07;Terrestre;Neil Knudson;British Columbia;Oficina en Hogar;3/5/2010
743;4219;29985;11/7/2012;Critical;22;196,75;0,03;Aereo Express;Khloe Miller;British Columbia;Corporativo;12/7/2012
744;4220;29986;3/7/2011;Critical;40;1477,39;0,03;Aereo Regular;Rob Dowd;British Columbia;Corporativo;3/7/2011
67;4237;30147;17/6/2012;No Especificado;37;740,14;0,06;Aereo Regular;Cathy Armstrong;British Columbia;Consumidor;19/6/2012
614;4238;30149;12/12/2010;Medio;8;16,47;0,1;Aereo Regular;Mark Cousins;British Columbia;Corporativo;13/12/2010
207;4239;30149;12/12/2010;Medio;5;173,62;0,09;Terrestre;Mark Cousins;British Columbia;Corporativo;14/12/2010
497;4240;30149;12/12/2010;Medio;50;690,97;0,03;Aereo Regular;Mark Cousins;British Columbia;Corporativo;15/12/2010
630;4257;30310;26/4/2012;Medio;21;2024,0285;0,1;Aereo Regular;Thomas Brumley;British Columbia;Consumidor;28/4/2012
745;4407;31426;5/8/2009;Bajo;40;4054,058;0,09;Aereo Regular;Greg Maxwell;British Columbia;Oficina en Hogar;9/8/2009
746;4471;31872;6/9/2010;Bajo;34;2833,19;0,06;Aereo Express;Vicky Freymann;British Columbia;Oficina en Hogar;10/9/2010
747;4472;31872;6/9/2010;Bajo;30;4452,65;0,09;Terrestre;Vicky Freymann;British Columbia;Oficina en Hogar;10/9/2010
343;4477;31874;15/9/2012;Alto;29;321,95;0,03;Aereo Express;Shahid Shariari;British Columbia;Corporativo;15/9/2012
456;4478;31874;15/9/2012;Alto;39;13244,04;0,05;Terrestre;Shahid Shariari;British Columbia;Corporativo;15/9/2012
674;4485;31938;27/7/2011;Medio;13;1193,62;0,08;Terrestre;Shahid Shariari;British Columbia;Consumidor;28/7/2011
381;4486;31938;27/7/2011;Medio;47;363,23;0,05;Aereo Regular;Shahid Shariari;British Columbia;Consumidor;29/7/2011
98;4576;32582;25/6/2009;No Especificado;27;2780,88;0,07;Aereo Express;Tony Chapman;British Columbia;Consumidor;26/6/2009
583;4580;32611;27/8/2009;Medio;16;33,76;0,04;Aereo Regular;Neil Knudson;British Columbia;Corporativo;29/8/2009
748;4581;32611;27/8/2009;Medio;19;3537,39;0;Terrestre;Neil Knudson;British Columbia;Corporativo;28/8/2009
749;4582;32611;27/8/2009;Medio;18;986,24;0,02;Aereo Express;Neil Knudson;British Columbia;Corporativo;28/8/2009
553;4583;32611;27/8/2009;Medio;15;81,66;0,05;Aereo Regular;Neil Knudson;British Columbia;Corporativo;27/8/2009
750;4620;32901;10/1/2011;Critical;13;49,74;0;Aereo Regular;Neil Knudson;British Columbia;Corporativo;11/1/2011
751;4678;33284;31/3/2012;Bajo;21;480,39;0,01;Aereo Regular;Lela Donovan;British Columbia;Corporativo;2/4/2012
243;4680;33287;22/4/2011;Critical;44;11904,55;0;Terrestre;Mike Vittorini;British Columbia;PYME;25/4/2011
51;4745;33732;28/8/2009;No Especificado;33;332,95;0,05;Aereo Regular;Heather Jas;British Columbia;Corporativo;29/8/2009
376;4843;34435;5/8/2009;Bajo;42;447,36;0,01;Aereo Regular;Justin Hirsh;British Columbia;Consumidor;7/8/2009
614;4899;34852;5/9/2012;Bajo;26;53,93;0,04;Aereo Regular;Rob Dowd;British Columbia;Corporativo;9/9/2012
752;5001;35649;9/10/2011;Medio;9;43,26;0,1;Aereo Regular;Justin Hirsh;British Columbia;Consumidor;11/10/2011
556;5002;35649;9/10/2011;Medio;25;174,03;0,02;Aereo Regular;Justin Hirsh;British Columbia;Consumidor;11/10/2011
259;5121;36480;22/8/2010;Medio;44;1190,8;0,07;Aereo Regular;Lela Donovan;British Columbia;Corporativo;23/8/2010
753;5171;36803;4/8/2012;No Especificado;42;121,65;0,05;Aereo Regular;Ralph Kennedy;British Columbia;Corporativo;6/8/2012
110;5172;36803;4/8/2012;No Especificado;2;19,02;0,05;Aereo Express;Ralph Kennedy;British Columbia;Corporativo;6/8/2012
754;5173;36803;4/8/2012;No Especificado;2;103,105;0,09;Aereo Regular;Ralph Kennedy;British Columbia;Corporativo;6/8/2012
677;5174;36805;14/12/2010;Medio;7;263,8;0;Aereo Regular;Shahid Shariari;British Columbia;Corporativo;16/12/2010
19;5175;36805;14/12/2010;Medio;28;1546,3965;0,07;Aereo Express;Shahid Shariari;British Columbia;Corporativo;16/12/2010
755;5180;36834;24/12/2009;Bajo;11;1935,1;0,01;Terrestre;Rob Dowd;British Columbia;Corporativo;26/12/2009
756;5255;37410;12/10/2010;Medio;45;18775,76;0,03;Terrestre;Chuck Clark;British Columbia;Corporativo;14/10/2010
688;5297;37729;15/1/2009;No Especificado;48;447,89;0;Aereo Regular;Giulietta Weimer;British Columbia;Corporativo;15/1/2009
757;5346;37988;5/4/2011;No Especificado;12;189,19;0,08;Aereo Regular;Khloe Miller;British Columbia;Oficina en Hogar;5/4/2011
453;5449;38690;20/1/2012;Bajo;28;697,5;0,02;Aereo Regular;Shahid Shariari;British Columbia;Corporativo;24/1/2012
350;5457;38758;24/9/2011;No Especificado;7;497,2;0;Aereo Regular;Justin Hirsh;British Columbia;Consumidor;26/9/2011
196;5554;39332;9/10/2011;Critical;4;198,72;0,01;Aereo Express;Khloe Miller;British Columbia;Consumidor;10/10/2011
360;5608;39745;4/5/2011;No Especificado;8;955,29;0,05;Terrestre;Ralph Kennedy;British Columbia;Corporativo;5/5/2011
227;5678;40134;9/10/2011;Bajo;10;109,37;0,1;Aereo Regular;Shahid Hopkins;British Columbia;PYME;16/10/2011
48;5679;40134;9/10/2011;Bajo;43;1461,1;0,01;Aereo Regular;Shahid Hopkins;British Columbia;PYME;13/10/2011
758;5680;40134;9/10/2011;Bajo;1;9,75;0;Aereo Regular;Shahid Hopkins;British Columbia;PYME;14/10/2011
623;5683;40164;10/4/2010;No Especificado;8;184,07;0,04;Aereo Regular;Chuck Clark;British Columbia;Corporativo;12/4/2010
442;5723;40608;19/8/2012;No Especificado;29;573,97;0,05;Aereo Regular;Bill Eplett;British Columbia;Corporativo;21/8/2012
302;5724;40608;19/8/2012;No Especificado;39;223,79;0,01;Aereo Regular;Bill Eplett;British Columbia;Corporativo;20/8/2012
737;5742;40801;1/7/2012;No Especificado;20;129,16;0,07;Aereo Regular;Sarah Bern;British Columbia;Corporativo;1/7/2012
726;5775;40965;20/11/2009;Medio;29;843,55;0,08;Aereo Regular;Mark Cousins;British Columbia;Corporativo;21/11/2009
737;5820;41286;16/9/2012;Medio;40;260,96;0,09;Aereo Regular;Lena Hernandez;British Columbia;Oficina en Hogar;17/9/2012
214;5836;41412;17/9/2009;No Especificado;47;263,81;0,03;Aereo Regular;Shahid Shariari;British Columbia;Consumidor;19/9/2009
470;5856;41569;21/7/2010;Critical;16;60,76;0,03;Aereo Regular;Khloe Miller;British Columbia;Corporativo;23/7/2010
304;5866;41633;9/11/2010;Bajo;29;3636,91;0;Terrestre;Bill Eplett;British Columbia;Corporativo;9/11/2010
483;5910;41895;10/1/2011;Critical;8;27663,92;0,05;Aereo Regular;Tony Chapman;British Columbia;Consumidor;12/1/2011
524;5936;42112;24/12/2010;No Especificado;16;2744,361;0,01;Aereo Regular;Bill Eplett;British Columbia;Corporativo;26/12/2010
385;5942;42177;30/5/2012;No Especificado;49;1201,934;0,03;Aereo Regular;Shahid Hopkins;British Columbia;PYME;31/5/2012
324;5943;42177;30/5/2012;No Especificado;38;395,84;0;Aereo Regular;Shahid Hopkins;British Columbia;PYME;2/6/2012
601;5969;42339;12/2/2009;Critical;31;206,54;0,02;Aereo Regular;Cathy Armstrong;British Columbia;Consumidor;12/2/2009
759;5971;42342;4/9/2009;No Especificado;25;318,14;0,01;Aereo Regular;Bill Eplett;British Columbia;Corporativo;5/9/2009
760;6061;42947;26/8/2010;Bajo;5;177,05;0;Aereo Regular;Patrick O'Brill;British Columbia;Oficina en Hogar;28/8/2010
162;6080;43079;21/7/2009;Medio;40;1184,03;0,04;Aereo Regular;Giulietta Weimer;British Columbia;Oficina en Hogar;22/7/2009
411;6087;43111;12/9/2011;Alto;27;4722,83;0,01;Aereo Regular;Sally Knutson;British Columbia;Consumidor;13/9/2011
761;6091;43140;18/3/2009;Critical;23;130,16;0,1;Aereo Regular;Marc Harrigan;British Columbia;Oficina en Hogar;20/3/2009
550;6228;44098;27/1/2010;Bajo;1;5,06;0,01;Aereo Regular;John Grady;British Columbia;Corporativo;31/1/2010
623;6282;44451;11/9/2011;Critical;4;103,9;0,07;Aereo Express;Khloe Miller;Nova Scotia;Oficina en Hogar;13/9/2011
762;6354;45059;3/2/2011;No Especificado;35;1327,59;0,05;Aereo Express;Tony Chapman;Nova Scotia;Consumidor;4/2/2011
256;6355;45059;3/2/2011;No Especificado;39;3401,8;0,09;Aereo Express;Tony Chapman;Nova Scotia;Consumidor;5/2/2011
531;6362;45155;15/2/2011;Bajo;44;181,61;0,03;Aereo Regular;Ralph Kennedy;Nova Scotia;Corporativo;22/2/2011
550;6363;45155;15/2/2011;Bajo;35;111,55;0,05;Aereo Regular;Ralph Kennedy;Nova Scotia;Corporativo;15/2/2011
168;6380;45317;1/3/2012;Bajo;36;1435,95;0,05;Aereo Regular;Trudy Schmidt;Nova Scotia;PYME;8/3/2012
677;6381;45317;1/3/2012;Bajo;28;961,06;0,05;Aereo Regular;Trudy Schmidt;Nova Scotia;PYME;8/3/2012
737;6432;45731;10/8/2009;Critical;19;146,63;0,01;Aereo Express;Gene Hale;Nova Scotia;Consumidor;11/8/2009
605;6433;45731;10/8/2009;Critical;35;2506,2675;0,03;Aereo Regular;Gene Hale;Nova Scotia;Consumidor;12/8/2009
208;6578;46849;13/12/2010;No Especificado;23;188,54;0,09;Aereo Regular;Sarah Bern;Nova Scotia;Corporativo;14/12/2010
713;6621;47108;15/10/2009;No Especificado;19;359,68;0,07;Aereo Regular;Justin Hirsh;Nova Scotia;Consumidor;16/10/2009
169;6622;47108;15/10/2009;No Especificado;7;131,55;0,06;Aereo Regular;Justin Hirsh;Nova Scotia;Consumidor;17/10/2009
763;6623;47108;15/10/2009;No Especificado;26;258,11;0,1;Aereo Express;Justin Hirsh;Nova Scotia;Consumidor;18/10/2009
487;6624;47108;15/10/2009;No Especificado;9;1288,515;0,08;Aereo Express;Justin Hirsh;Nova Scotia;Consumidor;16/10/2009
675;6676;47520;7/10/2009;No Especificado;36;277,88;0,09;Aereo Regular;Liz Price;Nova Scotia;Consumidor;9/10/2009
252;6677;47520;7/10/2009;No Especificado;13;3939,89;0,05;Terrestre;Liz Price;Nova Scotia;Consumidor;9/10/2009
94;6678;47520;7/10/2009;No Especificado;47;925,3;0,04;Aereo Regular;Liz Price;Nova Scotia;Consumidor;9/10/2009
131;6683;47527;17/9/2010;Medio;48;12072,9;0,04;Terrestre;Greg Maxwell;Nova Scotia;Oficina en Hogar;18/9/2010
764;6699;47713;3/7/2009;Alto;34;3419,1505;0;Aereo Regular;Marc Harrigan;Nova Scotia;Oficina en Hogar;3/7/2009
765;6707;47750;15/6/2010;Bajo;1;195,04;0,08;Aereo Regular;Sally Knutson;Nova Scotia;Corporativo;15/6/2010
766;6797;48452;9/10/2010;Alto;32;1859,01;0,09;Terrestre;Giulietta Weimer;Nova Scotia;Corporativo;11/10/2010
192;6798;48452;9/10/2010;Alto;19;1781,11;0,1;Aereo Regular;Giulietta Weimer;Nova Scotia;Corporativo;9/10/2010
767;6799;48452;9/10/2010;Alto;44;185,32;0,03;Aereo Regular;Giulietta Weimer;Nova Scotia;Corporativo;10/10/2010
482;6800;48452;9/10/2010;Alto;15;73,41;0,08;Aereo Regular;Giulietta Weimer;Nova Scotia;Corporativo;11/10/2010
479;6801;48452;9/10/2010;Alto;28;43,66;0,04;Aereo Regular;Giulietta Weimer;Nova Scotia;Corporativo;11/10/2010
486;6885;49088;23/9/2009;Critical;16;130,11;0,03;Aereo Regular;Kristina Nunn;Nova Scotia;Consumidor;24/9/2009
81;6886;49088;23/9/2009;Critical;15;4012,58;0,05;Aereo Express;Kristina Nunn;Nova Scotia;Consumidor;24/9/2009
130;6887;49088;23/9/2009;Critical;31;1295,54;0,06;Aereo Regular;Kristina Nunn;Nova Scotia;Consumidor;25/9/2009
768;6906;49223;2/10/2011;Medio;24;238,25;0,05;Aereo Regular;Chuck Clark;Nova Scotia;Corporativo;2/10/2011
227;6947;49634;23/3/2012;No Especificado;39;403,73;0,06;Aereo Regular;Sally Knutson;Nova Scotia;Consumidor;24/3/2012
398;6948;49634;23/3/2012;No Especificado;3;86,85;0,05;Aereo Regular;Sally Knutson;Nova Scotia;Consumidor;25/3/2012
769;6999;49987;19/1/2011;Alto;15;1795,49;0,05;Terrestre;Tanja Norvell;Nova Scotia;Consumidor;22/1/2011
770;7000;49987;19/1/2011;Alto;4;926,58;0,03;Terrestre;Tanja Norvell;Nova Scotia;Consumidor;22/1/2011
771;7032;50208;22/1/2011;Medio;4;38,76;0,1;Aereo Express;Sarah Bern;Nova Scotia;Corporativo;23/1/2011
538;7057;50338;23/3/2009;No Especificado;36;551,44;0;Aereo Regular;Liz Price;Nova Scotia;Corporativo;25/3/2009
545;7138;50945;7/1/2011;Critical;27;834,0625;0,01;Aereo Regular;Vicky Freymann;Nova Scotia;Oficina en Hogar;9/1/2011
61;7210;51462;22/6/2011;Medio;15;417,88;0,08;Aereo Express;Philisse Overcash;Nova Scotia;PYME;24/6/2011
772;7218;51494;3/8/2011;Critical;42;493,56;0,06;Aereo Regular;Justin Hirsh;Nova Scotia;Consumidor;5/8/2011
510;7221;51525;7/11/2011;Critical;18;360,24;0,04;Aereo Express;Patrick O'Brill;Nova Scotia;Oficina en Hogar;9/11/2011
140;7222;51525;7/11/2011;Critical;46;1463,27;0,09;Aereo Regular;Patrick O'Brill;Nova Scotia;Oficina en Hogar;9/11/2011
773;7428;52933;26/8/2010;Bajo;44;210,46;0,03;Aereo Express;Liz Price;Nova Scotia;Consumidor;2/9/2010
440;7437;53025;17/3/2010;Critical;32;195,57;0,09;Aereo Regular;Justin Hirsh;Nova Scotia;Consumidor;18/3/2010
460;7539;53894;7/7/2009;Critical;47;691,52;0,03;Aereo Regular;Cathy Armstrong;Nova Scotia;Consumidor;8/7/2009
18;7540;53894;7/7/2009;Critical;37;2756,17;0,04;Aereo Regular;Cathy Armstrong;Nova Scotia;Consumidor;8/7/2009
104;7541;53894;7/7/2009;Critical;29;5159,3725;0,02;Aereo Express;Cathy Armstrong;Nova Scotia;Consumidor;7/7/2009
496;7544;53953;27/3/2009;No Especificado;36;307,65;0,07;Aereo Regular;Heather Jas;Nova Scotia;Corporativo;28/3/2009
774;7587;54304;17/2/2010;Alto;11;558,62;0,03;Aereo Regular;Justin Hirsh;Nova Scotia;Consumidor;19/2/2010
171;7685;55075;1/2/2011;Critical;21;556,45;0,08;Terrestre;Lena Hernandez;Nova Scotia;Oficina en Hogar;4/2/2011
24;7710;55268;17/3/2012;Alto;11;61,46;0,08;Aereo Express;Patrick O'Brill;Nova Scotia;Oficina en Hogar;18/3/2012
775;7731;55367;10/1/2009;Critical;31;2137,1;0,05;Terrestre;Kristina Nunn;Nova Scotia;Consumidor;11/1/2009
776;7732;55367;10/1/2009;Critical;48;571,17;0,05;Aereo Regular;Kristina Nunn;Nova Scotia;Consumidor;12/1/2009
777;7875;56321;16/4/2010;Critical;24;135,88;0,1;Aereo Regular;Shahid Shariari;Nova Scotia;Consumidor;18/4/2010
716;7919;56610;7/3/2010;Medio;20;857,95;0,08;Aereo Express;Justin Hirsh;Nova Scotia;Consumidor;7/3/2010
778;7943;56740;16/10/2012;Critical;33;662,21;0,01;Aereo Regular;Khloe Miller;Nova Scotia;Consumidor;23/10/2012
271;7962;56901;11/9/2009;Critical;36;100,68;0;Aereo Regular;Paul MacIntyre;Nova Scotia;Corporativo;13/9/2009
535;8020;57314;12/10/2010;Bajo;22;846,35;0,04;Aereo Express;Patrick O'Brill;Nova Scotia;Oficina en Hogar;16/10/2010
706;8021;57314;12/10/2010;Bajo;26;1976,3945;0;Aereo Regular;Patrick O'Brill;Nova Scotia;Oficina en Hogar;19/10/2010
723;8027;57376;19/6/2011;Critical;44;442,72;0,07;Aereo Regular;Mike Vittorini;Nova Scotia;PYME;21/6/2011
308;8028;57376;19/6/2011;Critical;6;326,893;0,07;Aereo Regular;Mike Vittorini;Nova Scotia;PYME;19/6/2011
46;8086;57671;7/11/2012;No Especificado;6;22,78;0,01;Aereo Regular;Liz Price;Nova Scotia;Consumidor;8/11/2012
13;8092;57700;12/11/2011;Medio;38;1806,43;0,04;Aereo Regular;Paul MacIntyre;Nova Scotia;Corporativo;12/11/2011
384;8172;58407;6/5/2011;Alto;29;1669,88;0,02;Aereo Regular;John Grady;Nova Scotia;Corporativo;9/5/2011
567;8191;58593;8/9/2011;Critical;29;2018,45;0,08;Aereo Regular;Ricardo Emerson;Nova Scotia;Corporativo;9/9/2011
185;8238;58884;21/3/2011;Bajo;29;87,68;0,03;Aereo Regular;Chuck Clark;Nova Scotia;Corporativo;26/3/2011
530;8239;58884;21/3/2011;Bajo;46;3732,25;0,1;Terrestre;Chuck Clark;Nova Scotia;Corporativo;26/3/2011
779;8240;58913;11/5/2010;Medio;23;144,55;0,07;Aereo Regular;Sarah Bern;Nova Scotia;Corporativo;13/5/2010
780;8248;58978;6/2/2012;Bajo;13;75,89;0,09;Aereo Regular;Kristina Nunn;Nova Scotia;Consumidor;13/2/2012
781;37;229;28/12/2010;Critical;43;586,11;0,11;Aereo Regular;Matt Abelman;Nova Scotia;Consumidor;30/12/2010
92;108;706;8/9/2011;Critical;42;75,14;0,05;Aereo Regular;Sarah Jordon;Nova Scotia;Consumidor;10/9/2011
635;193;1285;31/5/2012;Critical;27;3874,12;0;Terrestre;Sally Matthias;Nova Scotia;Corporativo;31/5/2012
147;194;1285;31/5/2012;Critical;8;1452,216;0,05;Terrestre;Sally Matthias;Nova Scotia;Corporativo;1/6/2012
782;198;1313;12/9/2009;Critical;34;840,07;0;Aereo Regular;Sally Matthias;Nova Scotia;Oficina en Hogar;14/9/2009
17;206;1346;17/6/2012;Alto;48;4789,89;0,09;Terrestre;Theone Pippenger;Nova Scotia;Corporativo;19/6/2012
625;246;1699;29/12/2010;Critical;40;430,88;0,05;Aereo Regular;Art Ferguson;Nova Scotia;Corporativo;23/3/2011
276;314;2208;30/4/2011;No Especificado;7;82,06;0,07;Aereo Regular;Jack O'Briant;Nova Scotia;Oficina en Hogar;2/5/2011
783;315;2208;30/4/2011;No Especificado;41;23281,05;0,09;Aereo Regular;Jack O'Briant;Nova Scotia;Oficina en Hogar;1/5/2011
747;382;2656;3/5/2010;Critical;3;523,11;0,05;Terrestre;Nathan Cano;Nova Scotia;Consumidor;4/5/2010
545;383;2656;3/5/2010;Critical;29;913,41;0,01;Aereo Regular;Nathan Cano;Nova Scotia;Consumidor;5/5/2010
784;483;3361;22/8/2012;No Especificado;49;213,71;0,06;Aereo Regular;Michael Granlund;Nova Scotia;Corporativo;22/8/2012
341;484;3361;22/8/2012;No Especificado;23;133,66;0,07;Aereo Regular;Michael Granlund;Nova Scotia;Corporativo;23/8/2012
407;488;3393;3/7/2011;Alto;7;127,74;0,04;Aereo Express;Steve Carroll;Nova Scotia;Consumidor;4/7/2011
728;489;3393;3/7/2011;Alto;33;325,92;0,03;Aereo Regular;Steve Carroll;Nova Scotia;Consumidor;3/7/2011
582;638;4487;22/2/2010;Medio;50;325,24;0,05;Aereo Regular;Scott Williamson;Nova Scotia;PYME;23/2/2010
97;649;4579;30/11/2011;Alto;40;1765,05;0,05;Aereo Regular;Dennis Bolton;Nova Scotia;PYME;1/12/2011
711;713;5061;13/8/2010;Critical;4;12,8;0;Aereo Regular;Sean Wendt;Nova Scotia;Corporativo;15/8/2010
785;714;5092;29/10/2011;Bajo;3;709,04;0,1;Terrestre;John Castell;Nova Scotia;Consumidor;29/10/2011
205;715;5092;29/10/2011;Bajo;25;978,77;0,06;Aereo Regular;John Castell;Nova Scotia;Consumidor;3/11/2011
615;773;5511;28/11/2009;Critical;46;129,44;0,02;Aereo Express;Art Ferguson;Nova Scotia;Corporativo;29/11/2009
249;774;5511;28/11/2009;Critical;32;1829,387;0,02;Aereo Regular;Art Ferguson;Nova Scotia;Corporativo;29/11/2009
786;807;5799;2/8/2011;Critical;34;9626,86;0,08;Terrestre;Jack O'Briant;Nova Scotia;PYME;4/8/2011
164;815;5890;3/11/2012;Alto;42;813,535;0;Aereo Express;David Philippe;Nova Scotia;Consumidor;4/11/2012
787;919;6596;21/7/2011;Bajo;36;18028,07;0,02;Terrestre;Chad Sievert;Nova Scotia;Corporativo;26/7/2011
563;967;7015;12/10/2010;No Especificado;47;1880,8;0,07;Aereo Regular;Matt Abelman;Nova Scotia;Oficina en Hogar;14/10/2010
788;968;7015;12/10/2010;No Especificado;42;7143,927;0,02;Aereo Express;Matt Abelman;Nova Scotia;Oficina en Hogar;13/10/2010
512;982;7106;10/5/2012;Bajo;8;118,98;0,05;Aereo Regular;Shaun Weien;Nova Scotia;Oficina en Hogar;12/5/2012
789;983;7106;10/5/2012;Bajo;31;4910,09;0,01;Aereo Regular;Shaun Weien;Nova Scotia;Oficina en Hogar;12/5/2012
425;984;7106;10/5/2012;Bajo;36;1058,45;0,01;Aereo Regular;Shaun Weien;Nova Scotia;Oficina en Hogar;12/5/2012
790;1090;8007;11/2/2012;Bajo;5;820,5645;0,09;Aereo Regular;Maya Herman;Nova Scotia;Corporativo;11/2/2012
202;1127;8257;22/3/2009;Bajo;5;7486,09;0,05;Terrestre;David Philippe;Nova Scotia;Consumidor;22/3/2009
791;1128;8257;22/3/2009;Bajo;18;881,32;0,02;Aereo Regular;David Philippe;Nova Scotia;Consumidor;26/3/2009
792;1129;8257;22/3/2009;Bajo;5;22,77;0,03;Aereo Regular;David Philippe;Nova Scotia;Consumidor;29/3/2009
141;1196;8773;22/10/2011;Critical;5;220,7875;0,09;Aereo Regular;Sally Matthias;Nova Scotia;Oficina en Hogar;22/10/2011
381;1243;9057;4/11/2009;Critical;20;160,29;0,01;Aereo Regular;Michael Granlund;Nova Scotia;Oficina en Hogar;4/11/2009
329;1279;9285;2/1/2009;Critical;3;124,81;0,06;Aereo Regular;David Philippe;Nova Scotia;Consumidor;4/1/2009
347;1353;9861;28/10/2012;Bajo;47;706,68;0,1;Aereo Regular;Chad Sievert;Nova Scotia;Corporativo;1/11/2012
401;1363;9922;3/4/2011;No Especificado;24;6408,3;0,1;Terrestre;Jack O'Briant;Nova Scotia;Consumidor;4/4/2011
110;1364;9923;5/10/2009;Alto;27;63,71;0,01;Aereo Regular;Chad Sievert;Nova Scotia;Corporativo;5/10/2009
224;1365;9923;5/10/2009;Alto;14;5388,8;0,03;Terrestre;Chad Sievert;Nova Scotia;Corporativo;6/10/2009
248;1366;9925;30/1/2012;Critical;43;1751,68;0,1;Aereo Express;Chad Sievert;Nova Scotia;Corporativo;2/2/2012
14;1367;9925;30/1/2012;Critical;17;86,47;0,07;Aereo Regular;Chad Sievert;Nova Scotia;Corporativo;1/2/2012
314;1368;9925;30/1/2012;Critical;31;684,5;0,02;Aereo Regular;Chad Sievert;Nova Scotia;Corporativo;1/2/2012
291;1468;10593;12/2/2012;Alto;27;435,27;0,05;Aereo Regular;Sally Matthias;Nova Scotia;Oficina en Hogar;13/2/2012
793;1469;10593;12/2/2012;Alto;26;723,82;0,05;Aereo Regular;Sally Matthias;Nova Scotia;Oficina en Hogar;14/2/2012
794;1660;11969;19/1/2012;No Especificado;16;1684,96;0,08;Aereo Regular;Ivan Liston;Nova Scotia;Consumidor;20/1/2012
770;1661;11969;19/1/2012;No Especificado;9;1662,048;0,03;Terrestre;Ivan Liston;Nova Scotia;Consumidor;21/1/2012
197;1662;11969;19/1/2012;No Especificado;42;11460,76;0,1;Terrestre;Ivan Liston;Nova Scotia;Consumidor;21/1/2012
157;1694;12228;25/6/2009;No Especificado;1;159,51;0,04;Terrestre;Brad Norvell;Nova Scotia;Corporativo;28/6/2009
335;1695;12228;25/6/2009;No Especificado;30;5015,051;0,05;Aereo Regular;Brad Norvell;Nova Scotia;Corporativo;25/6/2009
796;1721;12355;28/5/2011;No Especificado;45;168,66;0,08;Aereo Regular;Ken Heidel;Nova Scotia;Corporativo;30/5/2011
537;1723;12389;4/8/2009;Medio;34;2560,59;0,07;Aereo Regular;Michael Granlund;Nova Scotia;Corporativo;6/8/2009
797;1724;12389;4/8/2009;Medio;16;189,04;0,08;Aereo Regular;Michael Granlund;Nova Scotia;Corporativo;5/8/2009
299;1775;12710;17/8/2010;Critical;37;2116,62;0,06;Aereo Regular;John Castell;Nova Scotia;PYME;17/8/2010
186;1909;13636;22/1/2009;Bajo;32;28180,08;0,02;Terrestre;Sally Matthias;Nova Scotia;Oficina en Hogar;26/1/2009
798;1961;14021;7/3/2011;Alto;12;27,05;0;Aereo Express;Ken Heidel;Nova Scotia;Corporativo;8/3/2011
187;2009;14338;31/1/2010;Bajo;34;6580,16;0,1;Terrestre;Mike Kennedy;Nova Scotia;PYME;7/2/2010
223;2021;14406;8/3/2010;Medio;37;5610,84;0,07;Aereo Regular;Charles Sheldon;Nova Scotia;Corporativo;10/3/2010
112;2022;14406;8/3/2010;Medio;20;455,34;0,06;Terrestre;Charles Sheldon;Nova Scotia;Corporativo;10/3/2010
56;2023;14406;8/3/2010;Medio;35;2329,646;0,1;Aereo Express;Charles Sheldon;Nova Scotia;Corporativo;10/3/2010
520;2202;15878;4/11/2010;Alto;36;275,06;0,05;Aereo Regular;Mike Kennedy;Nova Scotia;Corporativo;6/11/2010
799;2234;16133;25/9/2009;Critical;1;27,96;0,17;Aereo Regular;Matt Abelman;Nova Scotia;PYME;27/9/2009
800;2304;16612;13/2/2009;Alto;45;3699,22;0,05;Terrestre;Sally Matthias;Nova Scotia;Oficina en Hogar;14/2/2009
